id,year,place,date,activityType,details
1323,2007,南面白岳・大東岳,11/10～11,yama,諸事情により中止
1324,2007,磐梯山・猫魔ケ岳,10/27～28,yama,雨天により中止
1325,2007,鳥海山,10/13～14,yama,
1326,2007,長期山行（飯豊連峰）,08/21～27,yama,
1327,2007,船形山,08/??,yama,
1328,2007,訓練山行（笹谷峠～熊野岳）,07/28～29,yama,
1329,2007,安達太良山～「ほんとのそら」をもとめて～,06/23～24,yama,
1330,2007,蔵王,06/16～17,yama,
1331,2007,泉ヶ岳,05/??,yama,
1332,2007,北面白山（新入生歓迎登山）,05/??,yama,
1333,2008,安達太良山,10/25～26,yama,
1334,2008,磐梯山・猫魔ヶ岳,10/11～12,yama,
1335,2008,長期山行（朝日連峰）,08/21～25,yama,雨天により中止
1336,2008,訓練山行（笹谷峠～熊野岳）,08/01～02,yama,
1337,2008,大東岳・南面白山,07/05～06,yama,
1338,2008,船形山,06/28～29,yama,
1339,2008,南蔵王,06/14～15,yama,
1340,2008,北面白山（新入生歓迎登山）,05/17～18,yama,
1341,2008,泉ヶ岳（お試し登山）,04/27,yama,
1342,2009,吾妻山,10/24～25,yama,
1343,2009,鳥海山,10/10,yama,
1344,2009,中期登山(北アルプス白馬三山),09/06～09,yama,
1345,2009,長期登山,08/12～17,yama,
1346,2009,訓練登山（後発隊）,08/08～09,yama,
1347,2009,岩手山,07/04～05,yama,
1348,2009,早池峰山,06/21,yama,
1349,2009,安達太良山,05/23～24,yama,
1350,2009,北面白山（新入生歓迎登山）,05/09～10,yama,
1351,2009,泉ヶ岳（お試し登山）,04/,yama,
1352,2010,那須岳,10/16～17,yama,
1353,2010,長期登山in南アルプス,08/11～17,yama,
1354,2010,訓練in北蔵王,07/10～11,yama,
1355,2010,補講山行（月山）,07/04,yama,
1356,2010,朝日連峰,06/26～27,yama,
1357,2010,早池峰山,06/12～13,yama,
1358,2010,南面白・大東岳,05/29～30,yama,
1359,2010,北面白山,05/15～16,yama,
1360,2011,栗駒山,10/08,yama,
1361,2011,中期登山in谷川岳,09/27～30,yama,
1362,2011,長期登山in大雪山,08/15～21,yama,
1363,2011,訓練in北蔵王,07/30～31,yama,
1364,2011,補講山行in月山,07/24,yama,
1365,2011,焼石岳,07/16～17,yama,
